# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

clusterMsgModule		cluster_legacy.h	156	4	uint64_t:module_id; uint32_t:len; uint8_t:type; unsigned char:bulk_data	TODO(architect): assign canonical Rust type
clusterMsgPingExtHostname		cluster_legacy.h	181	1	char:hostname	TODO(architect): assign canonical Rust type
clusterMsgPingExtHumanNodename		cluster_legacy.h	185	1	char:human_nodename	TODO(architect): assign canonical Rust type
clusterMsgPingExtAvailabilityZone		cluster_legacy.h	189	1	char:availability_zone	TODO(architect): assign canonical Rust type
clusterMsgPingExtForgottenNode		cluster_legacy.h	193	2	char:name; uint64_t:ttl	TODO(architect): assign canonical Rust type
clusterMsgPingExtShardId		cluster_legacy.h	200	1	char:shard_id	TODO(architect): assign canonical Rust type
clusterMsgPingExtClientIpV4		cluster_legacy.h	204	1	char:announce_client_ipv4	TODO(architect): assign canonical Rust type
clusterMsgPingExtClientIpV6		cluster_legacy.h	208	1	char:announce_client_ipv6	TODO(architect): assign canonical Rust type
clusterMsgPingExtClientPort		cluster_legacy.h	212	1	uint16_t:announce_client_port	TODO(architect): assign canonical Rust type
clusterMsgPingExtClientTlsPort		cluster_legacy.h	216	1	uint16_t:announce_client_tls_port	TODO(architect): assign canonical Rust type
clusterMsg		cluster_legacy.h	271	21	char:sig; uint32_t:totlen; uint16_t:ver; uint16_t:port; uint16_t:type; ...	TODO(architect): assign canonical Rust type
clusterMsgLight		cluster_legacy.h	339	7	char:sig; uint32_t:totlen; uint16_t:ver; uint16_t:notused1; uint16_t:type; ...	TODO(architect): assign canonical Rust type
clusterMsgHeader		cluster_legacy.h	359	6	char:sig; uint32_t:totlen; uint16_t:ver; uint16_t:notused1; uint16_t:type; ...	TODO(architect): assign canonical Rust type
_clusterNode	_clusterNode	cluster_legacy.h	375	37	mstime_t:ctime; char:name; char:shard_id; int:flags; uint64_t:configEpoch; ...	TODO(architect): assign canonical Rust type
slotStat	slotStat	cluster_legacy.h	421	3	uint64_t:cpu_usec; uint64_t:network_bytes_in; uint64_t:network_bytes_out	TODO(architect): assign canonical Rust type
slotRange	slotRange	cluster_legacy.h	427	2	int:start_slot; int:end_slot	TODO(architect): assign canonical Rust type
