# Auto-generated by harness/gen-error-sites.py from reference/valkey/src/*.c
# DO NOT hand-edit. To refine a row, edit MSG_TO_CONSTRUCTOR in the generator.
#
# Total error sites: 641
# Columns (tab-separated):
#   file              C file
#   line              line number
#   callee            addReplyError, addReplyErrorFormat, addReplyErrorObject, etc.
#   message           extracted string-literal arg (empty if non-literal or *Object)
#   constructor       suggested RedisError constructor
#   context           full source line for the call

blocked.c	351	addReplyErrorSds	-REDIRECT %s:%d	RedisError::runtime(b"-REDIRECT %s:%d")	addReplyErrorSds(c, sdscatprintf(sdsempty(), "-REDIRECT %s:%d", server.primary_host, server.primary_port));
blocked.c	790	addReplyError		TODO(architect): non-literal message; needs RedisError variant	if (err_str) addReplyError(c, err_str);
cluster.c	220	addReplyError	Invalid IDLETIME value, must be >= 0	RedisError::runtime(b"Invalid IDLETIME value, must be >= 0")	addReplyError(c, "Invalid IDLETIME value, must be >= 0");
cluster.c	227	addReplyError	Invalid FREQ value, must be >= 0 and <= 255	RedisError::runtime(b"Invalid FREQ value, must be >= 0 and <= 255")	addReplyError(c, "Invalid FREQ value, must be >= 0 and <= 255");
cluster.c	232	addReplyErrorObject		RedisError::from_object(errobj)  // see C: caller-supplied error value	addReplyErrorObject(c, shared.syntaxerr);
cluster.c	240	addReplyErrorObject		RedisError::from_object(errobj)  // see C: caller-supplied error value	addReplyErrorObject(c, shared.busykeyerr);
cluster.c	248	addReplyError	Invalid TTL value, must be >= 0	RedisError::runtime(b"Invalid TTL value, must be >= 0")	addReplyError(c, "Invalid TTL value, must be >= 0");
cluster.c	254	addReplyError	DUMP payload version or checksum are wrong	RedisError::runtime(b"DUMP payload version or checksum are wrong")	addReplyError(c, "DUMP payload version or checksum are wrong");
cluster.c	261	addReplyError	Bad data format	RedisError::runtime(b"Bad data format")	addReplyError(c, "Bad data format");
cluster.c	268	addReplyErrorFormat	Unsupported foreign data type: %d	RedisError::runtime(b"Unsupported foreign data type: %d")	addReplyErrorFormat(c, "Unsupported foreign data type: %d", type);
cluster.c	274	addReplyError	Bad data format	RedisError::runtime(b"Bad data format")	addReplyError(c, "Bad data format");
cluster.c	371	addReplyError	-IOERR error or timeout connecting to the client	RedisError::runtime(b"-IOERR error or timeout connecting to the client")	addReplyError(c, "-IOERR error or timeout connecting to the client");
cluster.c	459	addReplyErrorObject		RedisError::from_object(errobj)  // see C: caller-supplied error value	addReplyErrorObject(c, shared.syntaxerr);
cluster.c	467	addReplyErrorObject		RedisError::from_object(errobj)  // see C: caller-supplied error value	addReplyErrorObject(c, shared.syntaxerr);
cluster.c	476	addReplyError	When using MIGRATE KEYS option, the key argument	RedisError::runtime(b"When using MIGRATE KEYS option, the key argument")	addReplyError(c, "When using MIGRATE KEYS option, the key argument"
cluster.c	484	addReplyErrorObject		RedisError::from_object(errobj)  // see C: caller-supplied error value	addReplyErrorObject(c, shared.syntaxerr);
cluster.c	656	addReplyErrorFormat	Target instance replied with error: %s	RedisError::runtime(b"Target instance replied with error: %s")	addReplyErrorFormat(c, "Target instance replied with error: %s", errbuf + 1);
cluster.c	759	addReplyErrorSds	-IOERR error or timeout %s to target instance	RedisError::runtime(b"-IOERR error or timeout %s to target instance")	addReplyErrorSds(c, sdscatprintf(sdsempty(), "-IOERR error or timeout %s to target instance",
cluster.c	801	addReplyError	No ID yet	RedisError::runtime(b"No ID yet")	addReplyError(c, "No ID yet");
cluster.c	814	addReplyError	No shard ID yet	RedisError::runtime(b"No shard ID yet")	addReplyError(c, "No shard ID yet");
cluster.c	882	addReplyError	This instance has cluster support disabled	RedisError::runtime(b"This instance has cluster support disabled")	addReplyError(c, "This instance has cluster support disabled");
cluster.c	920	addReplyError	Invalid slot	RedisError::runtime(b"Invalid slot")	addReplyError(c, "Invalid slot");
cluster.c	931	addReplyError	Invalid slot or number of keys	RedisError::runtime(b"Invalid slot or number of keys")	addReplyError(c, "Invalid slot or number of keys");
cluster.c	955	addReplyErrorFormat	Unknown node %s	RedisError::runtime(b"Unknown node %s")	addReplyErrorFormat(c, "Unknown node %s", (char *)objectGetVal(c->argv[2]));
cluster.c	960	addReplyError	The specified node is not a master	RedisError::runtime(b"The specified node is not a master")	addReplyError(c, "The specified node is not a master");
cluster.c	1317	addReplyError	-CROSSSLOT Keys in request don't hash to the same slot	RedisError::runtime(b"-CROSSSLOT Keys in request don't hash to the same slot")	addReplyError(c, "-CROSSSLOT Keys in request don't hash to the same slot");
cluster.c	1322	addReplyError	-TRYAGAIN Multiple keys request during rehashing of slot	RedisError::runtime(b"-TRYAGAIN Multiple keys request during rehashing of slot")	addReplyError(c, "-TRYAGAIN Multiple keys request during rehashing of slot");
cluster.c	1324	addReplyError	-CLUSTERDOWN The cluster is down	RedisError::runtime(b"-CLUSTERDOWN The cluster is down")	addReplyError(c, "-CLUSTERDOWN The cluster is down");
