# Auto-generated by harness/gen-file-deps.py from reference/valkey/src/*.{c,h}.
# DO NOT hand-edit. To re-assign a file, change RULES in the generator and re-run.
#
# Total files: 212
# Columns (tab-separated):
#   cfile   — basename in reference/valkey/src/
#   crate   — target Rust crate (or SKIP)
#   rust    — relative path under crates/<crate>/
#   phase   — pilot | later | defer | skip

lolwut6.c	redis-commands	src/lolwut_lolwut6.rs	defer
lolwut9.c	redis-commands	src/lolwut_lolwut9.rs	defer
lrulfu.c	redis-core	src/lrulfu.rs	defer
lrulfu.h	redis-core	src/lrulfu.rs	defer
lzf.h	redis-persist	src/lzf_lzf.rs	defer
lzfP.h	redis-persist	src/lzf_lzfP.rs	defer
lzf_c.c	redis-persist	src/lzf_lzf_c.rs	defer
lzf_d.c	redis-persist	src/lzf_lzf_d.rs	defer
memory_prefetch.c	redis-core	src/memory_prefetch.rs	defer
memory_prefetch.h	redis-core	src/memory_prefetch.rs	defer
memtest.c	SKIP	(memory diagnostic CLI)	skip
module.c	redis-modules	src/api.rs	defer
module.h	redis-modules	src/api.rs	defer
monotonic.c	redis-core	src/monotonic.rs	defer
monotonic.h	redis-core	src/monotonic.rs	defer
mt19937-64.c	redis-core	src/mt19937.rs	defer
mt19937-64.h	redis-core	src/mt19937.rs	defer
multi.c	redis-commands	src/multi.rs	later
mutexqueue.c	redis-core	src/mutexqueue.rs	defer
mutexqueue.h	redis-core	src/mutexqueue.rs	defer
networking.c	redis-core	src/networking.rs	pilot
notify.c	redis-core	src/notify.rs	later
object.c	redis-core	src/object.rs	later
pqsort.c	redis-ds	src/pqsort.rs	defer
pqsort.h	redis-ds	src/pqsort.rs	defer
pubsub.c	redis-commands	src/pubsub.rs	later
queues.c	redis-core	src/queues.rs	defer
queues.h	redis-core	src/queues.rs	defer
quicklist.c	redis-ds	src/quicklist.rs	defer
quicklist.h	redis-ds	src/quicklist.rs	defer
rand.c	redis-core	src/rand.rs	defer
rand.h	redis-core	src/rand.rs	defer
rax.c	redis-ds	src/rax.rs	defer
rax.h	redis-ds	src/rax.rs	defer
rax_malloc.h	redis-ds	src/rax_malloc.rs	defer
rdb.c	redis-persist	src/rdb.rs	defer
rdb.h	redis-persist	src/rdb.rs	defer
rdma.c	redis-core	src/rdma.rs	defer
redismodule.h	redis-modules	src/abi.rs	defer
release.c	redis-core	src/release.rs	later
release.h	redis-core	src/release.rs	later
replication.c	redis-repl	src/replication.rs	defer
resp_parser.c	redis-protocol	src/parser.rs	pilot
resp_parser.h	redis-protocol	src/parser.rs	pilot
rio.c	redis-persist	src/rio.rs	defer
rio.h	redis-persist	src/rio.rs	defer
script.c	redis-scripting	src/script.rs	defer
script.h	redis-scripting	src/script.rs	defer
scripting_engine.c	redis-scripting	src/engine.rs	defer
scripting_engine.h	redis-scripting	src/engine.rs	defer
sds.c	redis-types	src/sds_sds.rs	later
sds.h	redis-types	src/sds_sds.rs	later
sdsalloc.h	redis-types	src/sds_sdsalloc.rs	later
sentinel.c	redis-sentinel	src/sentinel.rs	defer
server.c	redis-server	src/server.rs	later
server.h	redis-server	src/server.rs	later
serverassert.c	SKIP	(C assertion macros — Rust has assert!/debug_assert!)	skip
serverassert.h	SKIP	(C assertion macros — Rust has assert!/debug_assert!)	skip
setcpuaffinity.c	redis-core	src/cpu_affinity.rs	defer
setproctitle.c	redis-core	src/setproctitle.rs	defer
sha1.c	SKIP		skip
sha1.h	SKIP		skip
sha256.c	SKIP		skip
sha256.h	SKIP		skip
siphash.c	redis-core	src/siphash.rs	defer
socket.c	redis-core	src/socket.rs	later
solarisfixes.h	SKIP		skip
sort.c	redis-commands	src/sort.rs	later
sparkline.c	SKIP		skip
sparkline.h	SKIP		skip
stream.h	redis-commands	src/stream.rs	later
strl.c	SKIP	(strlcpy/strlcat compat — Rust has equivalents)	skip
syncio.c	redis-repl	src/syncio.rs	defer
syscheck.c	redis-core	src/syscheck.rs	defer
syscheck.h	redis-core	src/syscheck.rs	defer
t_hash.c	redis-commands	src/hash.rs	later
t_list.c	redis-commands	src/list.rs	later
t_set.c	redis-commands	src/set.rs	later
t_stream.c	redis-commands	src/stream.rs	later
t_string.c	redis-commands	src/string.rs	pilot
t_zset.c	redis-commands	src/zset.rs	later
testhelp.h	SKIP	(C test infra; Rust uses cargo test)	skip
threads_mngr.c	redis-core	src/threads_mngr.rs	defer
threads_mngr.h	redis-core	src/threads_mngr.rs	defer
timeout.c	redis-core	src/timeout.rs	later
tls.c	redis-core	src/tls.rs	defer
tls.h	redis-core	src/tls.rs	defer
tracking.c	redis-core	src/tracking.rs	later
unix.c	redis-core	src/unix.rs	later
util.c	redis-core	src/util.rs	later
util.h	redis-core	src/util.rs	later
valkey-benchmark-dataset.c	SKIP	(benchmark dataset — separate tool)	skip
valkey-benchmark-dataset.h	SKIP	(benchmark dataset — separate tool)	skip
valkey-benchmark.c	SKIP		skip
valkey-check-aof.c	SKIP		skip
valkey-check-rdb.c	SKIP		skip
valkey-cli.c	SKIP		skip
valkey_strtod.c	redis-core	src/strtod.rs	defer
valkey_strtod.h	redis-core	src/strtod.rs	defer
valkeymodule.h	redis-modules	src/abi.rs	defer
vector.c	redis-commands	src/vector.rs	defer
vector.h	redis-commands	src/vector.rs	defer
version.h	redis-core	src/version.rs	later
vset.c	redis-commands	src/vset.rs	defer
vset.h	redis-commands	src/vset.rs	defer
ziplist.c	redis-ds	src/ziplist.rs	defer
ziplist.h	redis-ds	src/ziplist.rs	defer
zipmap.c	redis-ds	src/zipmap.rs	defer
zipmap.h	redis-ds	src/zipmap.rs	defer
zmalloc.c	redis-core	src/zmalloc.rs	defer
zmalloc.h	redis-core	src/zmalloc.rs	defer
